"","Author","TE","SE"
"1","Chetelat, 2017",0.942739705157597,0.433371165589243
"2","Engen, 2018",0.68061662174906,0.364839048585193
"3","Fahmy, 2018",1.34433564426356,0.513062531384929
"4","Grant, 2010",1.36808261481591,0.377339326495744
"5","Grant, 2013",0.772444444444444,0.346091269272524
"6","Hernandez, 2016",1.45494037282725,0.332829423775622
"7","Holzel, 2007",1.16849300878646,0.343170693678816
"8","Kumar, 2013",1.10086739711425,0.407205508963978
"9","Kurth, 2015",0.431682250639386,0.202351703728928
"10","Lazar, 2005",1.63887801099469,0.396051327397515
"11","Leung, 2012",1.92262513583729,0.495704549101579
"12","Luders, 2009",0.853345712526891,0.315419705961899
"13","Luders, 2012",0.794863605470468,0.268460798917748
"14","Luders, 2013",0.373075396419437,0.201759088043141
"15","Luders, 2015a",1.39131003726226,0.409161308070817
"16","Luders, 2015b",0.772030690537084,0.207428108027818
"17","Vestergaard-Poulsen, 2009",44.9304791467648,7.43101944554043
"18","Pagnoni, 2007",2.07016063491127,0.491653712262061
"19","Lu, 2014",0.34049832137738,0.128181400928023
"20","Friedel, 2015",0.345767382399851,0.157347211454025
"21","Murakami, 2012",0.0184254071052774,0.324450024562425
"22","Kurth, 2014",0.0985525871963253,0.283019876734067
"23","Taren, 2013",0.353740272308113,0.161907680622541
